@RELATION blink

@ATTRIBUTE accelerometer_variance NUMERIC
@ATTRIBUTE x_center_of_mass NUMERIC
@ATTRIBUTE y_center_of_mass NUMERIC
@ATTRIBUTE mean_frequency NUMERIC
@ATTRIBUTE class {watching,reading,solving,sawing,talking}

@DATA
1.137608,0.411363,1.833333,0.383333,talking
1.175786,0.4075,1.666666,0.35,talking
1.048389,0.41,1.666666,0.35,talking
0.384877,0.421428,1.75,0.366666,talking
0.357652,0.458695,1.916666,0.4,talking
0.369915,0.469565,1.916666,0.4,talking
0.341906,0.542,1.923076,0.433333,talking
0.270205,0.55,2.153846,0.483333,talking
0.180168,0.558620,2.416666,0.5,talking
0.198894,0.558928,2.153846,0.483333,talking
0.224553,0.560344,2.230769,0.5,talking
0.289069,0.548275,2.416666,0.5,talking
0.251458,0.533928,2.333333,0.483333,talking
0.235435,0.5625,2.153846,0.483333,talking
0.221243,0.546428,2.153846,0.483333,talking
0.308081,0.563333,2.5,0.516666,talking
0.306634,0.55,2.727272,0.516666,talking
0.205065,0.531481,2.25,0.466666,talking
0.227187,0.486956,1.642857,0.4,talking
0.225252,0.461363,1.833333,0.383333,talking
0.237712,0.4575,1.538461,0.35,talking
0.619715,0.408333,1.636363,0.316666,talking
0.673540,0.328125,1.6,0.283333,talking
0.682338,0.363888,1.8,0.316666,talking
0.699048,0.369444,1.636363,0.316666,talking
0.377747,0.303846,1.857142,0.233333,solving
0.203997,0.3,1.666666,0.183333,solving
0.163140,0.275,1.333333,0.15,solving
0.125379,0.2375,1.6,0.15,solving
0.135134,0.19,1.666666,0.1,solving
0.165346,0.075,2.0,0.083333,solving
0.147635,0.141666,1.5,0.116666,solving
0.185095,0.128571,1.75,0.133333,solving
0.209914,0.15,1.333333,0.15,solving
0.215692,0.175,1.2,0.116666,solving
0.196679,0.15,1.166666,0.133333,solving
0.084439,0.207142,1.0,0.133333,solving
0.111715,0.18,1.0,0.1,solving
0.122103,0.166666,1.0,0.116666,solving
0.165256,0.308333,1.2,0.116666,solving
0.159061,0.308333,1.2,0.116666,solving
0.158270,0.25625,1.0,0.15,solving
0.255535,0.340909,1.222222,0.2,solving
0.216706,0.354545,1.375,0.2,solving
0.226567,0.329166,1.2,0.216666,solving
0.446418,0.330769,1.625,0.233333,solving
0.634084,0.326666,1.875,0.266666,solving
1.200709,0.326666,1.666666,0.266666,solving
2.361681,0.35,1.5,0.266666,solving
2.297158,0.37,1.5,0.266666,solving
0.273266,0.254545,1.833333,0.2,sawing
0.472267,0.25,1.5,0.216666,sawing
0.512249,0.259090,1.571428,0.2,sawing
0.505416,0.26,1.428571,0.183333,sawing
0.587845,0.235,1.666666,0.183333,sawing
0.717516,0.225,1.6,0.15,sawing
0.751902,0.227777,1.8,0.166666,sawing
0.792394,0.331818,1.375,0.2,sawing
0.764417,0.36,1.25,0.183333,sawing
0.714270,0.331818,1.375,0.2,sawing
0.426860,0.37,1.428571,0.183333,sawing
0.420916,0.373076,1.625,0.233333,sawing
0.371682,0.403846,1.625,0.233333,sawing
0.497912,0.31,1.666666,0.183333,sawing
0.604475,0.31,1.666666,0.183333,sawing
0.707235,0.275,1.428571,0.183333,sawing
0.713783,0.285,1.428571,0.183333,sawing
0.586343,0.222222,1.285714,0.166666,sawing
